name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Dell COMDEL1170 Computadora Portátil Inspiron 13 5391 Intel Core i7 10a, 8 GB, 13.3 Pulgadas, NVIDIA GeForce MX250, Windows 10 Home, 256 GB M.2 PCIE 35
                    
                

                
                    
                    
                
            ","$25,963.18",,2 calificaciones,Dell,3.1 de 5 estrellas,Dell,COMDEL1170,,7 millimeters,30.8 centimeter,13.3 inches,,Intel,Core i7 Family,4.9,256 GB,DRAM,,8 GB,,Flash Memory Solid State,,NVIDIA GeForce MX250,Dedicated,DDR DRAM,,PCI-E,802.11ac,1,1,None,Windows 10 Home,45 watt_hours,Baterías integradas en el equipo,4, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5391_i782562GSW10s_520,23 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware - 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hybrid Drive + 128GB Solid State Drive - Silver
                    
                

                
                    
                    
                
            ",,,207 calificaciones,Alienware,4.2 de 5 estrellas,Alienware,AWm15-7830SLV-PUS,,20 millimeters,27.4 centimeter,15.6 inches,,Intel,Core i7 8750H,4.1 GHz,16 GB,,DDR4 SDRAM,32 GB,1000 GB,,Solid State,NVIDIA GeForce GTX 1060,Dedicated,GDDR5,,PCI-E,802.11a/b/g/n,,,No Optical Drive,Windows 10 Home,60 watt_hours,Baterías integradas en el equipo,1, ,4.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",AWM15-7830SLV-PUS,5 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Probook 440 Laptop, 8GB | 256GB SSD | 14 Inch
                    
                

                
                    
                    
                
            ","$14,499.00",,4 calificaciones,HP,3.7 de 5 estrellas,HP,ProBook 440 Commercial Notebook PC,,20 millimeters,33.6 centimeter,14 inches,1920x1080,Intel,Intel Core i5,2.50 GHz,8 GB,DDR4,DDR4 SDRAM,256 GB,256 GB,,Solid State,Intel HD Graphics 620,Integrated,72-Pin EDO SIMM Memory,,AGP,"802.11ac, Bluetooth",,,BD-R,Windows 10 Professoinal,48 watt_hours,Baterías integradas en el equipo,3, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",ProBook 440 G5 Business Laptop,7 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook 13"", Core i5, 8GB RAM, 512GB SSD, UX333FA-A4195T
                    
                

                
                    
                    
                
            ","$23,999.00",,,Asus,,Asus,UX333FA-A4195T,,,,13 inches,,Intel,Core i5 8250U,1.6 GHz,8 GB,DDR4,,8 GB,8 GB,Unidad híbrida,PCIE x 2,,Integrada,DDR4 SDRAM,,Integrado,,1,2,Ninguno,Windows 10,1 kilowatt_hours,Baterías dentro del paquete del equipo,1, ,2.1 Kg,"1 Litio Ion necesaria(s), incluida(s)",,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude 5400 Performance intel i5-8GB-1TB hard drive- Windows 10
                    
                

                
                    
                    
                
            ",,,,Dell,,Dell,Latitude 5400,,29 centimeter,8 centimeter,,,Intel,Intel Core i5,2.27 GHz,8 GB,,,256 GB,,,,,,,,,802.11b/g,,2,,Windows 10,,,, ,2.3 Kg,,Latitude 5400,7 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR410T. AMD 2-Core A6. 6GB RAM. 1TB HDD.Windows 10.  15.6"". Roja
                    
                

                
                    
                    
                
            ","$10,999.00",,,Asus,,Asus,ASUS VivoBook 15,Rojo,24.3 centimeter,20 millimeters,15.6 inches,,AMD,Apple A6,2.6 GHz,4 GB,,,6 GB,,SATA 1TB 5400RPM 2.5' HDD,,AMD Radeon R4,,,,,802.11ac,,1,,Windows 10,42 watt_hours,Baterías integradas en el equipo,1, ,2.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",X505BA-BR410T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        2019 Lenovo IdeaPad L340 17.3"" FHD Gaming Laptop Computer, 9th Gen Intel Hexa-Core i7-9750H Up to 4.5GHz, 16GB DDR4 RAM, 1TB HDD + 1TB PCIE SSD, GeForce GTX 1650 4GB, 802.11ac WiFi, Windows 10 Home
                    
                

                
                    
                    
                
            ","$30,063.08"," $31,519.32",,Lenovo,,Lenovo,IdeaPad,,25 millimeters,28.4 centimeter,17.3 inches,1920x1080,Intel,Intel Core i7,2.60 GHz,16 GB,DDR4,DDR4 SDRAM,,1 TB,,PCIE x 4,NVIDIA GeForce GTX 1650 4GB,nvidia_geforce_gtx,,,,Bluetooth,,,,Windows 10,,,, ,2.8 Kg,,L340,6 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Legion Y740-15IRH NOTEBOOK_COMPUTER,Bluetooth+ Wi-Fi,15.6inches,Intel core_i7 2.6GHz,16GB,DDR3,1000GB,Windows 10,Negro
                    
                

                
                    
                    
                
            ","$53,771.50"," $69,999.00",1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Legion Y740-15IRH,Negro,26.7 centimeter,23 millimeters,15.6 inches,,Intel,Intel Core i7,2.6 GHz,16 GB,DDR3,DDR4 SDRAM,32 GB,1000 GB,,,,nvidia_geforce_gtx,,,PCI,802.11bgn,,1,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,4.6 Kg,"1 Polímero de litio necesaria(s), incluida(s)",Legion Y740-15IRH,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell XPS 9570 -Touchscreen de 15,6"" pulgadas UHD (3840 x 2160) 32 GB RAM, 1TB SSD, Lector de Huellas Dactilares Windows 10 Pro- Plateado
                    
                

                
                    
                    
                
            ","$65,050.00",,29 calificaciones,Dell,3.5 de 5 estrellas,Dell,XPS 9570,,,,15.6 inches,,Intel,Intel Core i7,4.10 GHz,32 GB,,DDR4 SDRAM,,1 TB,,Solid State,GTX 1050Ti,nvidia_geforce_gtx_1050_ti,,,,802.11ac,,,,Windows 10,3 watt_hours,Baterías integradas en el equipo,3, ,3.6 Kg,"1 Polímero de litio necesaria(s), incluida(s)",XPS 9570,8 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude 3480 2.50GHz i5-7200U 14"" 1366 x 768Pixeles Negro Portátil - Ordenador portátil (Intel® Core™ i5 de la séptima generación, 2.50 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 500 GB)
                    
                

                
                    
                    
                
            ","$11,989.00"," $22,128.00",1 calificación,Dell,2.0 de 5 estrellas,Dell,3480,Negro,8.1 centimeter,31.8 centimeter,14 inches,1366 x 768 Pixeles,Intel,8032,2.5 GHz,4 GB,"SO-DIMM, DDR4-SDRAM",,16 GB,500 GB,Mechanical Hard Drive,Serial ATA,integrated_graphics,No disponible,,,,802.11ac,1,,No,Windows 10 Pro,56 watt_hours,Baterías integradas en el equipo,3, ,3.3 Kg,"1 Lithium ion necesaria(s), incluida(s)",KWG13,26 de mayo de 2017
"
                
                    
                    
                

                
                    
                    
                        Asus ZenBook 13 Ultra-Slim Laptop - 13.3"" Full HD Wideview, 8.ª generación Intel Core I5-8265U, Core i5 | 512G, Gris Pizarra, 13.3""
                    
                

                
                    
                    
                
            ","$21,866.01",,692 calificaciones,Asus,3.8 de 5 estrellas,Asus,Asus ZenBook 13,Gris pizarra,13 millimeters,21.6 centimeter,13.3 inches,,Intel,,,8 GB,LPDDR3,DDR3 SDRAM,16 GB,512 GB,,Solid State,Intel HD Graphics 620,Integrated,Shared,,Integrado,"802.11b/n/ac, Bluetooth",,,None,Windows 10 Home,50 watt_hours,Baterías integradas en el equipo,4, ,1.9 Kg,"1 Polímero de litio necesaria(s), incluida(s)",UX331FA-AS51,22 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Microsoft Surface Laptop 2 (Intel Core i5, 8GB RAM, 256 GB) versión más Reciente, 13.5"" (DAG-00114) (Renewed)
                    
                

                
                    
                    
                
            ","$20,875.72",,4 calificaciones,Amazon Renewed,4.7 de 5 estrellas,Microsoft,,,25.4 centimeter,5.1 centimeter,13.5 inches,,Intel,,,8 GB,,DDR DRAM,,1 GB,,,,,,,,802.11ac,,,,Windows 795,46 watt_hours,Baterías integradas en el equipo,, ,2.2 Kg,,,6 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 13-ag0002la Laptop 13.3"" FHD Táctil, AMD Ryzen 5 2500U 2.0GHz, 8GB RAM, 256 SSD, Gráficos AMD Radeon Vega, Windows 10
                    
                

                
                    
                    
                
            ","$19,999.00",,62 calificaciones,HP,4.4 de 5 estrellas,HP,13-ag0002la,Negro,15 millimeters,21.5 centimeter,13.3 inches,,AMD,None,3.2 GHz,8 GB,,,8 GB,,,,,,,,,802.11bgn,,3,,Windows 10,53.2 watt_hours,Baterías integradas en el equipo,, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",13-ag0002la,1 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        ACER COMPUTEC MEXICO S.A. DE C.V. NB Nitro 5 An515-52-780V Ci7 8A
                    
                

                
                    
                    
                
            ",,,1 calificación,ACER COMPUTEC MEXICO S.A. DE C.V.,5.0 de 5 estrellas,ACER COMPUTEC MEXICO S.A. DE C.V.,,,,,,,,,,8 GB,,DDR4 SDRAM,,,,,NVIDIA GeForce GTX 1050,nvidia_geforce_gtx_1050,,,,,,,,,,,, ,,,,24 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop D509DA-BR359T 15.6"" AMD R3 3200U Disco Duro 1 TB Ram 4GB+4GB Windows 10 Home Color Silver
                    
                

                
                    
                    
                
            ","$11,359.00",,,Asus,,Asus,,,,,15.6 inches,,,,,4 GB,"DRAM, DDR4",,,,,,,,,,,"802.11ac, Bluetooth",,,,Windows 10 Home,,,, ,1.7 Kg,,,30 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus Chromebook Flip C436 2-in-1 Laptop, 14"" Touchscreen FHD 4-Way NanoEdge, Intel Core i3-10110U, 128GB PCIe SSD, Fingerprint, Backlit KB, Wi-Fi 6, Chrome OS, C436FA-DS388T, Magnesium-Alloy, Silver
                    
                

                
                    
                    
                
            ","$22,790.80",,2 calificaciones,Asus,3.0 de 5 estrellas,Asus,Chromebook Flip,,14 millimeters,20.6 centimeter,14 inches,,Intel,Intel Core i3,4.1 GHz,8 GB,,DDR3 SDRAM,8 GB,,,,Intel UHD Graphics,Integrated,Shared,,Integrado,"802.11ax, Bluetooth",,,No Optical Drive,Chrome OS,,Baterías integradas en el equipo,3, ,2.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",C436FA-DS388T,24 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude E7470 - Laptop 14""  Intel Core-i7, 8GB (RAM), 256GB SSD, Wiondows 10 (Renewed)
                    
                

                
                    
                    
                
            ","$14,772.53",,36 calificaciones,Amazon Renewed,3.3 de 5 estrellas,Dell,Latitude E7470,Gris,19 millimeters,23.2 centimeter,14 inches,2560x1440,Intel,Core i7 6600U,2.4 GHz,3 GB,SDRAM,DDR4 SDRAM,8 GB,1 TB,Memoria flash de estado sólido,Solid State,Intel HD Graphics,Integrada,Shared,,Integrado,802.11ac,,3,Ninguno,Windows 10,1 watt_hours,Baterías integradas en el equipo,4, ,2.4 Kg,"1 Lithium ion necesaria(s), incluida(s)",E7470,1 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop Yoga X1 3gen Intel Core i7 16GB 256 Disco Duro
                    
                

                
                    
                    
                
            ","$26,999.00",,,Lenovo,,Lenovo,,,,,14 inches,,Intel,Core i7 8550U,1.90 GHz,16 GB,,DDR3 SDRAM,,256 GB,,Solid State,,,,,,,,,,Windows X,,,, ,2.4 Kg,,,17 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-10210U, NVIDIA GeForce MX250, 8GB DDR4, 512GB PCIe NVMe SSD, Intel Wi-Fi 6 AX201 802.11ax, Backlit KB, A515-54G-53H6
                    
                

                
                    
                    
                
            ","$18,508.01",,63 calificaciones,Acer,4.3 de 5 estrellas,Acer,A515-54G-53H6,Silver,18 millimeters,25 centimeter,15.6 inches,,Intel,Intel Core i5,4.2 GHz,8 GB,DDR4,DDR4 SDRAM,20 GB,512 GB,,Solid State,NVIDIA GeForce MX250,Dedicated,GDDR5,,Integrado,802.11ax,1,,No Optical Drive,Windows 10 Home,3220 milliamp_hours,Baterías integradas en el equipo,4, ,2.7 Kg,"1 Litio Ion necesaria(s), incluida(s)",A515-54G-53H6,7 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5481 2en1 14” Pantalla Táctil,  Core i3 8a. Gen. 4GB RAM 1TB DD, Win 10, Plata -  I5481_i3T41TSW10s_219
                    
                

                
                    
                    
                
            ","$11,699.00"," $13,699.01",4 calificaciones,Dell,3.1 de 5 estrellas,Dell,Inspiron,,10 millimeters,33.6 centimeter,14 inches,,Intel,Intel Core i3,3.9 GHz,4 GB,,,4 GB,1000 GB,,,,,,,,802.11ac,,2,,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5481_i3T41TSW10s_219_LC,18 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad C340-15IWL NOTEBOOK_COMPUTER,Bluetooth+ Wi-Fi,15.6inches,Intel core_i5 2.1GHz,4GB,DDR3,1000GB,Windows 10,Plata
                    
                

                
                    
                    
                
            ","$14,999.00"," $16,999.00",4 calificaciones,Lenovo,3.0 de 5 estrellas,Lenovo,ideaPad C340-15IWL,Plata,25 centimeter,20 millimeters,15.6 inches,,Intel,Intel Core i5,2.1 GHz,4 GB,DDR3,DDR4 SDRAM,16 GB,1000 GB,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,2.8 Kg,"1 Polímero de litio necesaria(s), incluida(s)",IdeaPad C340-15IWL,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        11.6"" CB 11 G5 N3060 2G 16GB
                    
                

                
                    
                    
                
            ","$8,390.00",,60 calificaciones,HP,4.0 de 5 estrellas,HP,X9U01UT#ABA,Negro,18 millimeters,20.6 centimeter,11.6 inches,1366 x 768 pixels,Intel,8032,1.60 GHz,2 GB,LPDDR3 SDRAM,,4 GB,,Flash Memory Solid State,Solid State,Intel HD Graphics 400,Integrated,Shared,,Integrado,802.11abg,,,None,Chrome,43.7 watt_hours,Baterías dentro del paquete del equipo,2, ,1.8 Kg,"1 Polímero de litio necesaria(s), incluida(s)","HP 11.6"" Chromebook 11",9 de agosto de 2016
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad S340-15API 15.6"", AMD RYZEN3, RAM 8GB, 2TB HDD Silver
                    
                

                
                    
                    
                
            ","$11,599.00"," $12,499.00",7 calificaciones,Lenovo,4.2 de 5 estrellas,Lenovo,IdeaPad S340-15API,Plata,24.5 centimeter,18 millimeters,15.6 inches,,AMD,None,3.5 GHz,8 GB,DDR3,DDR4 SDRAM,12 GB,2000 GB,,,,,,,Integrado,802.11bgn,,2,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,2.5 Kg,"1 Polímero de litio necesaria(s), incluida(s)",81NC0026LM,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron 3480 Flagship 24 pulgadas FHD WLED visualización táctil todo en uno (AIO) computadora, Intel Quad-Core i5-8265U 1.6 GHz hasta 3.9 GHz, 8 GB DDR4, 1 TB HDD, 802.11 AC, Bluetooth, HDMI, Windows 10, negro
                    
                

                
                    
                    
                
            ",,,,Dell,,Dell,Dell Inspiron,Negro,41 millimeters,36.8 centimeter,24 inches,1920 x 1080,Intel,Intel Core i5,1.60 GHz,8 GB,DDR4,DDR3 SDRAM,,1 TB,,Serial ATA,Intel UHD Graphics 620,,,,,802.11ac,1,,,Windows 10,,,, ,10.9 Kg,,3480,25 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 14-DQ1038WM Core I3 1005G 4GB 128GB SSD Windows 10 Home Gold
                    
                

                
                    
                    
                
            ","$12,459.00",,,HP,,HP,,,18 millimeters,22.5 centimeter,14 inches,,Intel,Core i3-6100,1.20 GHz,4 GB,,DDR DRAM,,128 GB,,,,,,,,,,,,Windows,,,, ,2 Kg,,14-DQ1038wm,5 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop Probook 440 G5 Intel Core I5 7200 256 GB SSD y 8 GB Ram Win 10 Pro 13"" 2 TB en la nuebe
                    
                

                
                    
                    
                
            ","$13,999.00"," $21,999.00",2 calificaciones,HP,3.0 de 5 estrellas,HP,,,,,14 inches,,Intel,Core i5 7200U,2.50 GHz,8 GB,,DDR4 SDRAM,,256 GB,,eSATA,,,,,,Bluetooth,,,,Windows,4.30 watt_hours,Baterías dentro del paquete del equipo,3, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",,9 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5593, Pantalla 15.6"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color AZUL , I5593_i58256LW10s_520
                    
                

                
                    
                    
                
            ","$16,909.00"," $19,299.00",2 calificaciones,Dell,3.0 de 5 estrellas,Dell,Inspiron,Azul,8 millimeters,36.4 centimeter,15.6 inches,,Intel,Intel Core i5,3.6 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5593_i58256LW10s_520,14 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 5, RAM 8GB,2TB HDD Abyss Blue
                    
                

                
                    
                    
                
            ","$12,745.00"," $13,999.00",1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Ideapad L340-15API,Azul Profundo,23 millimeters,36.3 centimeter,15.6 inches,,AMD,AMD R Series,2 GHz,8 GB,DDR4,SODIMM,,2 TB,,ATA,,,,,,,,,,Windows 10 Home,4 kilowatt_hours,Baterías integradas en el equipo,4, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",L340-15API,10 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        HP 240 g7 Core i3 7020u 2.30 GHz / 4gb / 500gb / 14 led HD/no DVD/Win 10 Home / 4 cel /1-1-0 2tb Nube
                    
                

                
                    
                    
                
            ","$9,299.00"," $11,199.00",,HP,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",,16 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware Laptop Gaming DELL 15YAW,  Core i7 9a.Gen, RAM 16GB,  512GB SSD, NVIDIA GeForce RTX 2060, Windows 10, Blanco (A15YAW_i7165122060W10s_520)
                    
                

                
                    
                    
                
            ","$49,999.00"," $54,799.00",1 calificación,Alienware,5.0 de 5 estrellas,Alienware,Alienware R2,,8 millimeters,36 centimeter,15.6 inches,,Intel,Intel Core i7,4.5 GHz,16 GB,,,16 GB,,,,NVIDIA GeForce RTX 2060,,,,,802.11ac,,,,Windows 10,76 watt_hours,Baterías integradas en el equipo,6, ,4.9 Kg,"1 Litio Ion necesaria(s), incluida(s)",A15YAW_i7165122060W10s_520,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Swift 3, 14"" Full HD IPS, 10th Gen Intel Core i5-1035G1, 8GB LPDDR4, 256 GB PCIe NVMe SSD, Intel Wireless Wi-Fi 6 AX201 802.11ax, Teclado retroiluminado, Windows 10, SF314-57-59EY, Gris
                    
                

                
                    
                    
                
            ","$19,344.17",,7 calificaciones,Acer,3.7 de 5 estrellas,Acer,SF314-57-59EY,Gris,16 millimeters,21.7 centimeter,14 inches,,Intel,,,8 GB,LPDDR4,,8 GB,256 GB,,Solid State,,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10 Home,4200 milliamp_hours,Baterías integradas en el equipo,3, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",SF314-57-59EY,6 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Legion Y540-15IRH NOTEBOOK_COMPUTER,Bluetooth+ Wi-Fi,15.6inches,Intel core_i5 2.4GHz,8GB,DDR3,1000GB,Windows 10,Negro
                    
                

                
                    
                    
                
            ","$22,499.00"," $28,999.00",2 calificaciones,Lenovo,4.5 de 5 estrellas,Lenovo,Legion Y540-15IRH,Negro,26.7 centimeter,24 millimeters,15.6 inches,,Intel,Core i5-6440HQ,2.4 GHz,8 GB,DDR3,DDR4 SDRAM,32 GB,1000 GB,Unidad híbrida,Serial ATA,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,GDDR5,,Integrado,802.11bgn,,3,None,Windows 10,5 watt_hours,Baterías integradas en el equipo,3, ,4.2 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",Legion Y540-15IRH-PG0,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad S150 (81VS0001US) Laptop, 14"" HD Display, AMD A6-9220e Upto 2.4GHz, 4GB RAM, 64GB eMMC, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home
                    
                

                
                    
                    
                
            ","$8,699.00",,29 calificaciones,Lenovo,3.4 de 5 estrellas,Lenovo,IdeaPad,Plateado,20 millimeters,32.8 centimeter,14 inches,1366x768,AMD,AMD A6,1.60 GHz,4 GB,,SODIMM,4 GB,64 GB,,Solid State,AMD Radeon R4 Series,Integrated,DDR3 SDRAM,2 MB,Integrado,802.11ac,,,No Optical Drive,Windows 10,20 watt_hours,Baterías integradas en el equipo,2, ,2.1 Kg,"1 Litio-metal necesaria(s), incluida(s)",S150,22 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Notebook Inspiron, Pantalla15.6"", AMD Ryzen 3 3.6GHz, 4GB RAM, 1TB HDD, Windows 10 (I5575_R341TSW10s_119)
                    
                

                
                    
                    
                
            ","$9,799.00"," $11,729.00",1 calificación,Dell,1.0 de 5 estrellas,Dell,Inspiron,,10 millimeters,38 centimeter,15.6 inches,,AMD,None,3.6 GHz,4 GB,,,32 GB,1000 GB,,,,,,,,802.11ac,,,,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,3 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5575_R341TSW10s_119,3 de septiembre de 2018
"
                
                    
                    
                

                
                    
                    
                        HP x360 Convertible 14-cd0004la Laptop 14"" HD Táctil, Intel Core i3-8130U 2.2GHz, 4GB RAM, 1TB HDD, Windows 10
                    
                

                
                    
                    
                
            ","$10,999.00"," $12,012.00",85 calificaciones,HP,3.5 de 5 estrellas,HP,14-cd0004la,"Negro, Azul",20 millimeters,22.4 centimeter,14 inches,1366 x 768 Pixeles,Intel,Intel Core i3,2.2 GHz,4 GB,DDR4-SDRAM,,4 GB,1000 GB,,Serial ATA,,Intel® UHD Graphics 620,,,,802.11bgn,,3,No,Windows 10,41 watt_hours,Baterías integradas en el equipo,3, ,2.2 Kg,"1 Lithium ion necesaria(s), incluida(s)",14-cd0004la,30 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Laptop con pantalla táctil de 14"" para el hogar y el negocio, Ryzen 3-3200U, 8 GB de RAM, 128 GB SSD M.2, doble núcleo hasta 3.50 GHz, Vega 3 Graphics, RJ-45, USB-C, salida 4K HDMI, Bluetooth, cámara web, 1366x768, Windows 10
                    
                

                
                    
                    
                
            ",,,125 calificaciones,HP,4.3 de 5 estrellas,HP,850011107829,,20 millimeters,22.6 centimeter,14 inches,1366x768,AMD,Ryzen 3 2300U,2.60 GHz,8 GB,DDR4,DDR4 SDRAM,,128 GB,,Solid State,Radeon Vega 3 Graphics,,,,,"802.11b/g, 802.11bgn, 802.11b",,,,Windows 10,4.90 watt_hours,Baterías integradas en el equipo,2, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",,24 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Laptop Inspiron 14 3493, 14"", Intel Core i5, i5 1035G1, 8 GB, Windows 10 Home, 256 GB
                    
                

                
                    
                    
                
            ","$13,699.00"," $17,567.00",,Dell,,Dell,,,,,14 inches,,Intel,Core i5 Family,3.60 GHz,8 GB,,SODIMM,,256 GB,,ATA,,,,,,,,,,Windows 10 Home,,,, ,2.4 Kg,,D1MCW,11 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BR567T. AMD Dual Core R3-2200U. 6GB RAM. AMD Radeon Vega 3 Graphics. 1TB. Windows 10. 15.6"". Gris
                    
                

                
                    
                    
                
            ","$12,499.01",,3 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS Vivobook,Matt Dark Grey,36.1 centimeter,24.4 centimeter,15.6 inches,,AMD,None,2.5 GHz,6 GB,,,16 GB,1000 GB,Sata,,AMD Radeon Vega 3,,,,,802.11ac,,1,,Windows 10,3.4 watt_hours,Baterías integradas en el equipo,1, ,3.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",X505ZA-BR567T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop 15-DA0044LA, 15.6 Pulgadas, Intel Core i3, i3-7020U, 8 GB, Windows 10 Home, 2 TB
                    
                

                
                    
                    
                
            ","$12,499.00",,,HP,,HP,,,,,15.6 inches,,Intel,Core i3 Family,2.30 GHz,8 GB,,SODIMM,,2 TB,,ATA,,,,,,,,,,Windows 10 Home,,,, ,2.5 Kg,,,11 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        ThinkPad T440s 20AR001FUS 14"" LED Ultrabook Intel Core i5-4300U 1.9GHz Graphite Black
                    
                

                
                    
                    
                
            ","$6,543.00",,,Lenovo,,Lenovo,,,,,14 inches,,Intel,,1.90 GHz,4 GB,,,,,,,,,,,,Bluetooth,,,,Windows 8,,,, ,1.6 Kg,,20AR001FUS,29 de mayo de 2017
